212  [main] DEBUG org.testng.TestNG - suiteXmlPath: "/Users/anastasiiahontsova/Library/Caches/JetBrains/IdeaIC2022.1/temp-testng-customsuite.xml"
331  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setUp()[pri:0, instance:null] -554436972
331  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setBeforeTestLogger(java.lang.reflect.Method)[pri:0, instance:null] -1490602262
331  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
334  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
334  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
334  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
336  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.tearDown(org.testng.ITestResult)[pri:0, instance:null] 1153243883
336  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setAfterTestLogger(java.lang.reflect.Method)[pri:0, instance:null] -1176413645
336  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
336  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
336  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
336  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
339  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE PhoneBookLoginPageTests.testLoginFormWithDataProviderFromFilePositive(com.telran.hontsova.homework.phonebook.model.User)[pri:0, instance:com.telran.hontsova.homework.phonebook.tests.PhoneBookLoginPageTests@68034211] -1532084270
339  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
339  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
339  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
339  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
342  [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  /Users/anastasiiahontsova/Library/Caches/JetBrains/IdeaIC2022.1/temp-testng-customsuite.xml

382  [main] INFO  c.t.h.h.phonebook.fw.TestBase - Start test by Anastasiia.
2562 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.cssSelector: .login_login__3EHKB input:nth-child(1)
2573 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.cssSelector: .login_login__3EHKB input:nth-child(1)
2648 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.cssSelector: .login_login__3EHKB input:nth-child(2)
2655 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.cssSelector: .login_login__3EHKB input:nth-child(2)
2697 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.xpath: //button[contains(text(), 'Login')]
2705 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.xpath: //button[contains(text(), 'Login')]
2724 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.xpath: //button[text()='Sign Out']
3348 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.xpath: //button[text()='Sign Out']
3352 [main] INFO  c.t.h.h.phonebook.fw.TestBase - Stop testtestLoginFormWithDataProviderFromFilePositiveby Anastasiia.
4439 [main] INFO  c.t.h.h.phonebook.fw.TestBase - Start test by Anastasiia.
5963 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.cssSelector: .login_login__3EHKB input:nth-child(1)
5974 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.cssSelector: .login_login__3EHKB input:nth-child(1)
