197  [main] DEBUG org.testng.TestNG - suiteXmlPath: "/Users/anastasiiahontsova/Library/Caches/JetBrains/IdeaIC2022.1/temp-testng-customsuite.xml"
303  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setUp()[pri:0, instance:null] -554436972
303  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setBeforeTestLogger(java.lang.reflect.Method)[pri:0, instance:null] -1490602262
304  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
307  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
307  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
307  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
309  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.tearDown(org.testng.ITestResult)[pri:0, instance:null] 1153243883
309  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE TestBase.setAfterTestLogger(java.lang.reflect.Method)[pri:0, instance:null] -1176413645
309  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
309  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
309  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
309  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
312  [main] DEBUG org.testng.internal.Graph - [Graph] ADDING NODE PhoneBookLoginPageTests.testLoginFormWithDataProviderFromFileNegative(com.telran.hontsova.homework.phonebook.model.User)[pri:0, instance:com.telran.hontsova.homework.phonebook.tests.PhoneBookLoginPageTests@4167d97b] -1494150544
312  [main] DEBUG org.testng.internal.Graph - [Graph] ================ SORTING
312  [main] DEBUG org.testng.internal.Graph - [Graph] =============== DONE SORTING
312  [main] DEBUG org.testng.internal.Graph - [Graph] ====== SORTED NODES
312  [main] DEBUG org.testng.internal.Graph - [Graph] ====== END SORTED NODES
315  [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  /Users/anastasiiahontsova/Library/Caches/JetBrains/IdeaIC2022.1/temp-testng-customsuite.xml

343  [main] INFO  c.t.h.h.phonebook.fw.TestBase - Start test by Anastasiia.
2490 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.cssSelector: .login_login__3EHKB input:nth-child(1)
2502 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.cssSelector: .login_login__3EHKB input:nth-child(1)
2590 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.cssSelector: .login_login__3EHKB input:nth-child(2)
2596 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.cssSelector: .login_login__3EHKB input:nth-child(2)
2639 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.xpath: //button[contains(text(), 'Login')]
2647 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Found element by locatorBy.xpath: //button[contains(text(), 'Login')]
3706 [main] INFO  c.t.h.h.phonebook.fw.MyListener - Trying to find element by locator:By.xpath: //div[text() = 'Login Failed with code 400']
